index,sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations
0,"[E1]﻿Google Headquarter[/E1] is located at Mountain View in [E2]California, USA.[/E2]","[ORG]﻿Google Headquarter[/ORG] is located at Mountain View in [GPE]California, USA.[/GPE]",﻿Google Headquarter,"California, USA.",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]﻿Google Headquarter[/E1] is located at Mountain View in [E2]California, USA [/E2].","[E1]﻿Google Headquarter[/E1] is located at Mountain View in [E2]California, USA [/E2]."
0,"[E1]﻿Google Headquarter[/E1] is located at Mountain View in [E2]California, USA.[/E2]","[ORG]﻿Google Headquarter[/ORG] is located at Mountain View in [GPE]California, USA.[/GPE]",﻿Google Headquarter,"California, USA.",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]﻿Google Headquarter[/E1] is located at Mountain View in [E2]California, USA [/E2].","[E2]California, USA [/E2] located [E1]﻿Google Headquarter[/E1]."
1,"[E1]Google's[/E1] new office campus at [E2]Financial District, Hyderabad[/E2] has opened.","[ORG]Google's[/ORG] new office campus at [GPE]Financial District, Hyderabad[/GPE] has opened.",Google's,"Financial District, Hyderabad",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Google's[/E1] new office campus at [E2]Financial District, Hyderabad[/E2] has opened.","[E1]Google's[/E1] new office campus at [E2]Financial District, Hyderabad[/E2] has opened."
1,"[E1]Google's[/E1] new office campus at [E2]Financial District, Hyderabad[/E2] has opened.","[ORG]Google's[/ORG] new office campus at [GPE]Financial District, Hyderabad[/GPE] has opened.",Google's,"Financial District, Hyderabad",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Google's[/E1] new office campus at [E2]Financial District, Hyderabad[/E2] has opened.","[E2]Financial District, Hyderabad[/E2] located [E1]Google's[/E1] has opened."
2,"[E1]Equity bank[/E1] head office branch is located at [E2]Church House, downtown[/E2].","[ORG]Equity bank[/ORG] head office branch is located at [GPE]Church House, downtown[/GPE].",Equity bank,"Church House, downtown",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Equity bank[/E1] head office branch is located at [E2]Church House, downtown[/E2].","[E1]Equity bank[/E1] head office branch is located at [E2]Church House, downtown[/E2]."
2,"[E1]Equity bank[/E1] head office branch is located at [E2]Church House, downtown[/E2].","[ORG]Equity bank[/ORG] head office branch is located at [GPE]Church House, downtown[/GPE].",Equity bank,"Church House, downtown",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Equity bank[/E1] head office branch is located at [E2]Church House, downtown[/E2].","[E2]Church House, downtown[/E2] located [E1]Equity bank[/E1]."
3,"[E1]Immigration Office[/E1] opens a new passport office in [E2]Offa, Kwara State[/E2].","[ORG]Immigration Office[/ORG] opens a new passport office in [GPE]Offa, Kwara State[/GPE].",Immigration Office,"Offa, Kwara State",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Immigration Office[/E1] opens a new passport office in [E2]Offa, Kwara State[/E2].","[E1]Immigration Office[/E1] opens a new passport office in [E2]Offa, Kwara State[/E2]."
3,"[E1]Immigration Office[/E1] opens a new passport office in [E2]Offa, Kwara State[/E2].","[ORG]Immigration Office[/ORG] opens a new passport office in [GPE]Offa, Kwara State[/GPE].",Immigration Office,"Offa, Kwara State",locatedAt,"['ORG', 'GPE']",Admin.txt,1,"[E1]Immigration Office[/E1] opens a new passport office in [E2]Offa, Kwara State[/E2].","[E2]Offa, Kwara State[/E2] located [E1]Immigration Office[/E1]."
4,[E1]ITC [/E1]leased office located at the dingy [E2]Radha Bazar lane in Central Calcutta[/E2].,[ORG]ITC [/ORG]leased office located at the dingy [GPE]Radha Bazar lane in Central Calcutta[/GPE].,ITC ,Radha Bazar lane in Central Calcutta,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]ITC [/E1]leased office located at the dingy [E2]Radha Bazar lane in Central Calcutta[/E2].,[E1]ITC [/E1]leased office located at the dingy [E2]Radha Bazar lane in Central Calcutta[/E2].
4,[E1]ITC [/E1]leased office located at the dingy [E2]Radha Bazar lane in Central Calcutta[/E2].,[ORG]ITC [/ORG]leased office located at the dingy [GPE]Radha Bazar lane in Central Calcutta[/GPE].,ITC ,Radha Bazar lane in Central Calcutta,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]ITC [/E1]leased office located at the dingy [E2]Radha Bazar lane in Central Calcutta[/E2].,[E2]Radha Bazar lane in Central Calcutta[/E2] located [E1]ITC [/E1].
5,[E1]Harney's[/E1] are pleased to announce that we have a new additional office in [E2]London[/E2].,[ORG]Harney's[/ORG] are pleased to announce that we have a new additional office in [GPE]London[/GPE].,Harney's,London,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]Harney's[/E1] are pleased to announce that we have a new additional office in [E2]London[/E2].,[E1]Harney's[/E1] are pleased to announce that we have a new additional office in [E2]London[/E2].
5,[E1]Harney's[/E1] are pleased to announce that we have a new additional office in [E2]London[/E2].,[ORG]Harney's[/ORG] are pleased to announce that we have a new additional office in [GPE]London[/GPE].,Harney's,London,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]Harney's[/E1] are pleased to announce that we have a new additional office in [E2]London[/E2].,[E2]London[/E2] located [E1]Harney's[/E1].
6,[E1]Remus Uomo[/E1] at [E2]AFJ’s Harlem[/E2] location are selling suits on a Sale.,[ORG]Remus Uomo[/ORG] at [GPE]AFJ’s Harlem[/GPE] location are selling suits on a Sale.,Remus Uomo,AFJ’s Harlem,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]Remus Uomo[/E1] at [E2]AFJ’s Harlem[/E2] location are selling suits on a Sale.,[E1]Remus Uomo[/E1] at [E2]AFJ’s Harlem[/E2] location are selling suits on a Sale.
6,[E1]Remus Uomo[/E1] at [E2]AFJ’s Harlem[/E2] location are selling suits on a Sale.,[ORG]Remus Uomo[/ORG] at [GPE]AFJ’s Harlem[/GPE] location are selling suits on a Sale.,Remus Uomo,AFJ’s Harlem,locatedAt,"['ORG', 'GPE']",Admin.txt,1,[E1]Remus Uomo[/E1] at [E2]AFJ’s Harlem[/E2] location are selling suits on a Sale.,[E2]AFJ’s Harlem[/E2] located [E1]Remus Uomo[/E1] location are selling suits on a Sale.
