sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text
[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[ORG]Manchester United [/ORG]employee[PER]d Kobbie Main[/PER]oo has included a clause into his contract.,Kobbie Mainoo,Manchester United ,employedBy,"['PER', 'ORG']",Admin.txt,2,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.
[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[PER]Luis Suarez [/PER]was signed a contract with[ORG] Inter Miami[/ORG] on free.,Luis Suarez , Inter Miami,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.
[E1]Inaki PeÃ±a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[PER]Inaki PeÃ±a[/PER] recently signed new deal with [ORG]FC Barcelona[/ORG] until June 2026.,Inaki PeÃ±a,FC Barcelona,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Inaki PeÃ±a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.
[E1]Mohamed Ihattarenâs[/E1] contract at [E2]Slavia Prague[/E2] will be valid until 2024 as he signs on free transfer.,[PER]Mohamed Ihattarenâs[/PER] contract at [ORG]Slavia Prague[/ORG] will be valid until 2024 as he signs on free transfer.,Mohamed Ihattarenâs,Slavia Prague,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Mohamed Ihattarenâs[/E1] contract at [E2]Slavia Prague[/E2] will be valid until 2024 as he signs on free transfer.
2006 born Serbian talent [E1]Matija PopoviÄ[/E1] has signed with [E2]AC Milan[/E2].,2006 born Serbian talent [PER]Matija PopoviÄ[/PER] has signed with [ORG]AC Milan[/ORG].,Matija PopoviÄ,AC Milan,employedBy,"['PER', 'ORG']",Admin.txt,2,2006 born Serbian talent [E1]Matija PopoviÄ[/E1] has signed with [E2]AC Milan[/E2].
[E1]Jude Bellingham [/E1]with remain employed by [E2]Real Madrid[/E2] till 2029.,[PER]Jude Bellingham [/PER]with remain employed by [ORG]Real Madrid[/ORG] till 2029.,Jude Bellingham ,Real Madrid,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Jude Bellingham [/E1]with remain employed by [E2]Real Madrid[/E2] till 2029.
[E1]Florian Witrz[/E1] will obey his contract with [E2]Bayer Leverkusen[/E2] for a foreseeable future.,[PER]Florian Witrz[/PER] will obey his contract with [ORG]Bayer Leverkusen[/ORG] for a foreseeable future.,Florian Witrz,Bayer Leverkusen,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Florian Witrz[/E1] will obey his contract with [E2]Bayer Leverkusen[/E2] for a foreseeable future.
[E1]Ben White[/E1] employed by [E2]Arsenal[/E2] is in new contract extension talks.,[PER]Ben White[/PER] employed by [ORG]Arsenal[/ORG] is in new contract extension talks.,Ben White,Arsenal,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Ben White[/E1] employed by [E2]Arsenal[/E2] is in new contract extension talks.
[E1]Jude Bellingham[/E1] who playes for [E2]Madrid[/E2] is back to prepare the next games.,[PER]Jude Bellingham[/PER] who playes for [ORG]Madrid[/ORG] is back to prepare the next games.,Jude Bellingham,Madrid,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Jude Bellingham[/E1] who playes for [E2]Madrid[/E2] is back to prepare the next games.
[E1]Gianluca Prestianni[/E1] has signed a contract with [E2]Benfica[/E2] for 8 million euros.,[PER]Gianluca Prestianni[/PER] has signed a contract with [ORG]Benfica[/ORG] for 8 million euros.,Gianluca Prestianni,Benfica,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Gianluca Prestianni[/E1] has signed a contract with [E2]Benfica[/E2] for 8 million euros.
