sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations,Combination_spin_text
[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[ORG]Manchester United [/ORG]employee[PER]d Kobbie Main[/PER]oo has included a clause into his contract.,Kobbie Mainoo,Manchester United ,employedBy,"['PER', 'ORG']",Admin.txt,2,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.
[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[ORG]Manchester United [/ORG]employee[PER]d Kobbie Main[/PER]oo has included a clause into his contract.,Kobbie Mainoo,Manchester United ,employedBy,"['PER', 'ORG']",Admin.txt,2,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] get included a clause into his contract .
[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[ORG]Manchester United [/ORG]employee[PER]d Kobbie Main[/PER]oo has included a clause into his contract.,Kobbie Mainoo,Manchester United ,employedBy,"['PER', 'ORG']",Admin.txt,2,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E1]Kobbie Mainoo[/E1]employed[E2]Manchester United [/E2] has included a clause into his contract.,[E1]Kobbie Mainoo[/E1]employed[E2]Manchester United [/E2] has included a clause into his contract.
[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[ORG]Manchester United [/ORG]employee[PER]d Kobbie Main[/PER]oo has included a clause into his contract.,Kobbie Mainoo,Manchester United ,employedBy,"['PER', 'ORG']",Admin.txt,2,[E2]Manchester United [/E2]employeed [E1]Kobbie Mainoo[/E1] has included a clause into his contract.,[E1]Kobbie Mainoo[/E1]employed[E2]Manchester United [/E2] has included a clause into his contract.,[E1]Kobbie Mainoo[/E1]employed[E2]Manchester United [/E2] have included axerophthol article into his contract .
[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[PER]Luis Suarez [/PER]was signed a contract with[ORG] Inter Miami[/ORG] on free.,Luis Suarez , Inter Miami,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.
[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[PER]Luis Suarez [/PER]was signed a contract with[ORG] Inter Miami[/ORG] on free.,Luis Suarez , Inter Miami,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E1]Luis Suarez [/E1]was subscribe antiophthalmic_factor contract with[E2] Inter Miami[/E2] on free .
[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[PER]Luis Suarez [/PER]was signed a contract with[ORG] Inter Miami[/ORG] on free.,Luis Suarez , Inter Miami,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E2] Inter Miami[/E2] employed [E1]Luis Suarez [/E1] on free.,[E2] Inter Miami[/E2] employed [E1]Luis Suarez [/E1] on free.
[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[PER]Luis Suarez [/PER]was signed a contract with[ORG] Inter Miami[/ORG] on free.,Luis Suarez , Inter Miami,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Luis Suarez [/E1]was signed a contract with[E2] Inter Miami[/E2] on free.,[E2] Inter Miami[/E2] employed [E1]Luis Suarez [/E1] on free.,[E2] Inter Miami[/E2] employ [E1]Luis Suarez [/E1] on devoid .
[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[PER]Inaki Pe̱a[/PER] recently signed new deal with [ORG]FC Barcelona[/ORG] until June 2026.,Inaki Pe̱a,FC Barcelona,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.
[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[PER]Inaki Pe̱a[/PER] recently signed new deal with [ORG]FC Barcelona[/ORG] until June 2026.,Inaki Pe̱a,FC Barcelona,employedBy,"['PER', 'ORG']",Admin.txt,2,[E1]Inaki Pe̱a[/E1] recently signed new deal with [E2]FC Barcelona[/E2] until June 2026.,[E2]FC Barcelona[/E2] employed [E1]Inaki Pe̱a[/E1] until June 2026.,[E2]FC Barcelona[/E2] employed [E1]Inaki Pe̱a[/E1] until June 2026.
